ImageID,Label
1,3
2,6
3,9
4,5
5,6
6,5
7,6
8,0
9,0
10,1
11,7
12,1
13,5
14,7
15,8
16,1
17,1
18,5
19,9
20,6
21,9
22,2
23,2
24,8
25,4
26,6
27,2
28,5
29,4
30,4
31,8
32,2
33,8
34,9
35,3
36,8
37,9
38,5
39,2
40,7
41,6
42,3
43,1
44,7
45,9
46,7
47,4
48,2
49,5
50,0
51,0
52,3
53,9
54,8
55,5
56,1
57,3
58,1
59,3
60,5
61,4
62,6
63,4
64,7
65,8
66,2
67,4
68,8
69,1
70,2
71,0
72,0
73,6
74,5
75,7
76,0
77,9
78,1
79,9
80,2
81,0
82,4
83,3
84,3
85,2
86,8
87,7
88,6
89,5
90,8
91,7
92,9
93,2
94,8
95,8
96,4
97,9
98,1
99,5
100,1
101,6
102,5
103,7
104,9
105,1
106,2
107,9
108,4
109,0
110,4
111,5
112,8
113,1
114,3
115,1
116,7
117,2
118,5
119,7
120,3
121,3
122,7
123,5
124,0
125,9
126,3
127,6
128,6
129,3
130,3
131,5
132,0
133,9
134,2
135,6
136,0
137,4
138,3
139,1
140,7
141,4
142,1
143,1
144,9
145,8
146,6
147,3
148,7
149,0
150,4
151,7
152,3
153,9
154,1
155,7
156,3
157,1
158,5
159,0
160,9
161,9
162,1
163,7
164,2
165,1
166,1
167,5
168,1
169,5
170,6
171,9
172,8
173,3
174,4
175,3
176,7
177,6
178,4
179,9
180,1
181,6
182,4
183,4
184,3
185,7
186,2
187,9
188,3
189,1
190,1
191,5
192,7
193,0
194,0
195,5
196,1
197,8
198,6
199,2
200,9
201,8
202,5
203,3
204,7
205,2
206,6
207,9
208,5
209,0
210,3
211,3
212,2
213,8
214,6
215,1
216,7
217,9
218,8
219,8
220,9
221,1
222,4
223,0
224,1
225,4
226,1
227,5
228,2
229,5
230,0
231,9
232,2
233,8
234,9
235,1
236,4
237,7
238,0
239,0
240,5
241,6
242,0
243,1
244,5
245,7
246,7
247,2
248,4
249,2
250,1
251,5
252,6
253,8
254,2
255,9
256,1
257,6
258,1
259,5
260,6
261,2
262,2
263,4
264,0
265,4
266,9
267,5
268,4
269,9
270,6
271,6
272,4
273,9
274,4
275,8
276,7
277,4
278,4
279,2
280,4
281,8
282,8
283,6
284,8
285,6
286,1
287,2
288,7
289,3
290,8
291,7
292,8
293,4
294,1
295,0
296,7
297,2
298,0
299,6
300,5
301,5
302,0
303,7
304,6
305,5
306,0
307,3
308,7
309,4
310,7
311,5
312,9
313,1
314,9
315,7
316,3
317,6
318,9
319,5
320,3
321,0
322,1
323,7
324,1
325,2
326,5
327,6
328,6
329,1
330,0
331,3
332,3
333,8
334,6
335,7
336,2
337,4
338,7
339,9
340,1
341,8
342,7
343,0
344,2
345,1
346,9
347,5
348,5
349,6
350,9
351,6
352,5
353,8
354,6
355,8
356,9
357,8
358,4
359,4
360,3
361,4
362,2
363,0
364,8
365,1
366,5
367,7
368,5
369,3
370,0
371,3
372,5
373,0
374,4
375,7
376,4
377,8
378,1
379,6
380,3
381,7
382,3
383,2
384,7
385,5
386,6
387,4
388,1
389,6
390,3
391,2
392,7
393,0
394,4
395,0
396,6
397,5
398,8
399,6
400,3
401,4
402,6
403,1
404,2
405,9
406,0
407,3
408,5
409,8
410,3
411,0
412,0
413,6
414,4
415,5
416,1
417,0
418,0
419,6
420,3
421,8
422,3
423,4
424,1
425,0
426,4
427,1
428,6
429,0
430,8
431,5
432,6
433,6
434,3
435,1
436,9
437,3
438,3
439,8
440,4
441,7
442,8
443,5
444,8
445,2
446,0
447,3
448,1
449,5
450,4
451,3
452,4
453,3
454,3
455,7
456,9
457,9
458,0
459,1
460,4
461,4
462,4
463,1
464,5
465,0
466,7
467,7
468,7
469,2
470,9
471,6
472,1
473,4
474,4
475,5
476,1
477,7
478,3
479,6
480,4
481,7
482,0
483,1
484,3
485,7
486,7
487,8
488,5
489,7
490,5
491,3
492,4
493,9
494,0
495,7
496,9
497,1
498,7
499,5
500,3
501,0
502,8
503,6
504,2
505,8
506,8
507,8
508,3
509,3
510,5
511,0
512,4
513,4
514,8
515,1
516,8
517,1
518,0
519,3
520,6
521,4
522,0
523,4
524,7
525,0
526,9
527,4
528,7
529,5
530,1
531,8
532,7
533,6
534,7
535,7
536,1
537,5
538,1
539,6
540,8
541,1
542,3
543,0
544,7
545,5
546,0
547,1
548,4
549,1
550,8
551,0
552,0
553,2
554,4
555,2
556,7
557,0
558,2
559,3
560,4
561,2
562,1
563,2
564,4
565,9
566,1
567,8
568,5
569,2
570,5
571,1
572,2
573,8
574,4
575,4
576,6
577,2
578,0
579,7
580,2
581,2
582,8
583,8
584,1
585,0
586,5
587,1
588,9
589,0
590,5
591,9
592,8
593,3
594,1
595,7
596,3
597,1
598,8
599,2
600,3
601,5
602,0
603,6
604,7
605,1
606,2
607,3
608,2
609,8
610,1
611,0
612,2
613,4
614,9
615,5
616,7
617,6
618,1
619,3
620,3
621,4
622,1
623,2
624,0
625,6
626,6
627,4
628,6
629,0
630,7
631,0
632,4
633,6
634,6
635,7
636,6
637,6
638,1
639,3
640,8
641,2
642,0
643,4
644,3
645,6
646,2
647,4
648,4
649,0
650,5
651,8
652,3
653,0
654,9
655,4
656,5
657,1
658,1
659,6
660,3
661,3
662,6
663,4
664,4
665,0
666,5
667,1
668,5
669,3
670,2
671,1
672,1
673,3
674,7
675,0
676,0
677,4
678,0
679,0
680,4
681,9
682,3
683,3
684,8
685,3
686,8
687,8
688,8
689,2
690,2
691,8
692,9
693,4
694,7
695,5
696,5
697,2
698,2
699,6
700,8
701,0
702,3
703,3
704,3
705,9
706,6
707,5
708,9
709,2
710,8
711,3
712,6
713,9
714,3
715,7
716,1
717,2
718,6
719,0
720,5
721,6
722,8
723,9
724,6
725,3
726,8
727,6
728,0
729,8
730,9
731,8
732,3
733,8
734,7
735,0
736,5
737,5
738,3
739,8
740,7
741,3
742,3
743,1
744,4
745,9
746,4
747,4
748,8
749,6
750,5
751,4
752,4
753,7
754,3
755,3
756,3
757,7
758,7
759,3
760,7
761,0
762,1
763,5
764,9
765,7
766,7
767,6
768,8
769,7
770,3
771,6
772,8
773,8
774,1
775,6
776,3
777,3
778,6
779,4
780,7
781,5
782,4
783,5
784,2
785,4
786,6
787,5
788,2
789,7
790,5
791,3
792,5
793,7
794,1
795,6
796,3
797,3
798,5
799,3
800,9
801,2
802,5
803,2
804,5
805,5
806,3
807,9
808,6
809,0
810,7
811,2
812,1
813,7
814,2
815,4
816,3
817,8
818,2
819,4
820,2
821,3
822,7
823,3
824,6
825,2
826,4
827,0
828,5
829,3
830,9
831,5
832,0
833,1
834,3
835,8
836,6
837,1
838,1
839,5
840,2
841,0
842,0
843,4
844,3
845,2
846,2
847,3
848,7
849,8
850,2
851,4
852,6
853,8
854,0
855,8
856,3
857,7
858,7
859,9
860,1
861,4
862,8
863,1
864,4
865,0
866,8
867,9
868,1
869,3
870,9
871,6
872,4
873,4
874,8
875,6
876,1
877,0
878,1
879,9
880,9
881,3
882,1
883,6
884,4
885,4
886,2
887,2
888,2
889,7
890,3
891,3
892,9
893,6
894,3
895,4
896,5
897,4
898,2
899,9
900,8
901,1
902,4
903,5
904,6
905,8
906,4
907,7
908,1
909,4
910,9
911,2
912,2
913,9
914,6
915,8
916,6
917,3
918,2
919,3
920,6
921,9
922,1
923,8
924,6
925,9
926,7
927,9
928,9
929,9
930,9
931,5
932,4
933,5
934,5
935,0
936,9
937,5
938,7
939,7
940,0
941,0
942,0
943,2
944,8
945,4
946,7
947,8
948,0
949,8
950,2
951,0
952,6
953,3
954,0
955,6
956,4
957,9
958,5
959,0
960,1
961,0
962,2
963,2
964,1
965,6
966,7
967,0
968,0
969,4
970,6
971,2
972,2
973,7
974,3
975,8
976,9
977,8
978,7
979,1
980,3
981,0
982,8
983,0
984,8
985,2
986,7
987,9
988,8
989,1
990,0
991,8
992,5
993,3
994,5
995,8
996,0
997,5
998,9
999,9
1000,2
1001,4
1002,9
1003,8
1004,8
1005,2
1006,1
1007,2
1008,9
1009,1
1010,5
1011,7
1012,8
1013,3
1014,1
1015,8
1016,0
1017,2
1018,4
1019,1
1020,3
1021,4
1022,8
1023,6
1024,7
1025,5
1026,7
1027,9
1028,5
1029,0
1030,2
1031,8
1032,7
1033,7
1034,9
1035,2
1036,2
1037,5
1038,1
1039,6
1040,4
1041,8
1042,0
1043,2
1044,6
1045,6
1046,6
1047,1
1048,1
1049,9
1050,9
1051,3
1052,7
1053,4
1054,1
1055,1
1056,9
1057,4
1058,2
1059,6
1060,0
1061,1
1062,4
1063,1
1064,3
1065,7
1066,1
1067,1
1068,0
1069,4
1070,2
1071,7
1072,1
1073,7
1074,5
1075,8
1076,1
1077,0
1078,3
1079,2
1080,8
1081,0
1082,0
1083,6
1084,4
1085,6
1086,6
1087,2
1088,7
1089,7
1090,0
1091,7
1092,0
1093,7
1094,3
1095,0
1096,9
1097,4
1098,1
1099,5
1100,2
1101,6
1102,7
